 1,   1,  55, 463,  66,   5,  67, 471,  78
 2,  55,  56, 464, 463,  67,  68, 472, 471
 3,  56,   2,  57, 464,  68,   6,  69, 472
 4,  66, 463, 465,  65,  78, 471, 473,  77
 5, 463, 464, 466, 465, 471, 472, 474, 473
 6, 464,  57,  58, 466, 472,  69,  70, 474
 7,  65, 465, 467,  64,  77, 473, 475,  76
 8, 465, 466, 468, 467, 473, 474, 476, 475
 9, 466,  58,  59, 468, 474,  70,  71, 476
10,  64, 467, 469,  63,  76, 475, 477,  75
11, 467, 468, 470, 469, 475, 476, 478, 477
12, 468,  59,  60, 470, 476,  71,  72, 478
13,  63, 469,  62,   4,  75, 477,  74,   8
14, 469, 470,  61,  62, 477, 478,  73,  74
15, 470,  60,   3,  61, 478,  72,   7,  73
16,  94, 479, 487,  87,   9,  79,  82,  12
17, 479, 480, 488, 487,  79,  80,  81,  82
18, 480,  99,  98, 488,  80,  10,  11,  81
19,  93, 481, 489,  88,  94, 479, 487,  87
20, 481, 482, 490, 489, 479, 480, 488, 487
21, 482, 100,  97, 490, 480,  99,  98, 488
22,  92, 483, 491,  89,  93, 481, 489,  88
23, 483, 484, 492, 491, 481, 482, 490, 489
24, 484, 101,  96, 492, 482, 100,  97, 490
25,  91, 485, 493,  90,  92, 483, 491,  89
26, 485, 486, 494, 493, 483, 484, 492, 491
27, 486, 102,  95, 494, 484, 101,  96, 492
28,  16,  84,  85,  15,  91, 485, 493,  90
29,  84,  83,  86,  85, 485, 486, 494, 493
30,  83,  13,  14,  86, 486, 102,  95, 494
